ID;SEHIR;DOZ;TOPLAM;NUFUS
1;ADANA;355404;1139868;2258718
2;ADIYAMAN;77955;248802;632459
3;AFYONKARAHISAR;138934;431545;736912
4;AGRI;41146;135953;535435
5;AKSARAY;62603;194492;423011
6;AMASYA;87322;256607;335494
7;ANKARA;1241906;3893991;5663322
8;ANTALYA;530415;1585765;2548308
9;ARDAHAN;18642;53271;96161
10;ARTVIN;43132;123686;169501
11;AYDIN;293208;849015;1119084
12;BALIKESIR;359073;1020497;1240285
13;BARTIN;49086;145902;198979
14;BATMAN;48556;157545;620278
15;BAYBURT;13155;37283;81910
16;BILECIK;49145;157530;218717
17;BINGOL;30771;88137;281768
18;BITLIS;23726;74819;350994
19;BOLU;75911;227547;314802
20;BURDUR;66955;194991;267092
21;BURSA;550539;1822577;3101833
22;CANAKKALE;161433;460095;541548
23;CANKARI;45799;127320;192428
24;CORUM;121891;360331;530126
25;DENIZLI;212478;688083;1040915
26;DIYARBAKIR;134167;442035;1783431
27;DUZCE;73865;231911;395679
28;EDIRNE;123707;349857;407763
29;ELAZIG;101103;292951;587960
30;ERZINCAN;48554;140381;234431
31;ERZURUM;106493;318718;758279
32;ESKISEHIR;215045;672665;888828
33;GAZIANTEP;207651;778187;2101157
34;GIRESUN;123826;334731;448721
35;GUMUSHANE;24740;66120;141702
36;HAKKARI;14102;61180;280514
37;HATAY;223365;735439;1659320
38;IGDIR;21324;64951;201314
39;ISPARTA;107865;313856;440304
40;ISTANBUL;2419591;8617141;15462452
41;IZMIR;1006223;3142928;4394694
42;KAHRAMANMARAž;149207;485392;1168163
44;KARAMAN;48437;144641;254919
45;KARS;37951;119780;284923
46;KASTAMONU;99604;275403;376377
47;KAYSER˜;250399;785275;1421455
48;KIRIKKALE;60949;175651;278703
49;KIRKLARELI;98896;296527;361737
52;KOCAELI;321371;1115365;1997258
53;KONYA;374716;1132277;2250020
54;KUTAHYA;125308;379920;576688
55;MALATYA;147223;437319;806156
56;MANISA;284045;921654;1450616
57;MARDIN;53374;177609;854716
58;MERSIN;349594;1080427;1868757
59;MUGLA;286979;865620;1000773
60;MUS;29056;91243;411117
61;NEVSEHIR;59594;182025;304962
62;NIGDE;59908;183531;362071
63;ORDU;187138;539515;761400
64;OSMANIYE;95463;294010;548556
65;RIZE;78152;223962;344359
66;SAKARYA;184942;580524;1042649
67;SAMSUN;292951;855399;1356079
68;SIIRT;19836;65203;331070
69;SINOP;61944;166394;216460
70;SIVAS;126038;371178;635889
71;SANLIURFA;109394;375928;2115256
72;žIRNAK;25473;96097;537762
73;TEKIRDAG;208146;685872;1081065
74;TOKAT;137312;387708;597861
75;TRABZON;186529;528361;811901
76;TUNCELI;23646;64109;83443
77;USAK;81055;250214;369433
78;VAN;91208;327849;1149342
79;YALOVA;65920;195808;276050
80;YOZGAT;81924;233749;419095
81;ZONGULDAK;139382;414815;591204
